realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1980-07-01,12.19
2019-12-23,2019-12-23,1980-08-01,12.56
2019-12-23,2019-12-23,1980-09-01,13.20
2019-12-23,2019-12-23,1980-10-01,13.79
2019-12-23,2019-12-23,1980-11-01,14.21
2019-12-23,2019-12-23,1980-12-01,14.79
2019-12-23,2019-12-23,1981-01-01,14.90
2019-12-23,2019-12-23,1981-02-01,15.13
2019-12-23,2019-12-23,1981-03-01,15.40
2019-12-23,2019-12-23,1981-04-01,15.58
2019-12-23,2019-12-23,1981-05-01,16.40
2019-12-23,2019-12-23,1981-06-01,16.70
2019-12-23,2019-12-23,1981-07-01,16.83
2019-12-23,2019-12-23,1981-08-01,17.29
2019-12-23,2019-12-23,1981-09-01,18.16
2019-12-23,2019-12-23,1981-10-01,18.45
2019-12-23,2019-12-23,1981-11-01,17.83
2019-12-23,2019-12-23,1981-12-01,16.92
2019-12-23,2019-12-23,1982-01-01,17.40
2019-12-23,2019-12-23,1982-02-01,17.60
2019-12-23,2019-12-23,1982-03-01,17.16
2019-12-23,2019-12-23,1982-04-01,16.89
2019-12-23,2019-12-23,1982-05-01,16.68
2019-12-23,2019-12-23,1982-06-01,16.70
2019-12-23,2019-12-23,1982-07-01,16.82
2019-12-23,2019-12-23,1982-08-01,16.27
2019-12-23,2019-12-23,1982-09-01,15.43
2019-12-23,2019-12-23,1982-10-01,14.61
2019-12-23,2019-12-23,1982-11-01,13.83
2019-12-23,2019-12-23,1982-12-01,13.62
2019-12-23,2019-12-23,1983-01-01,13.25
2019-12-23,2019-12-23,1983-02-01,13.04
2019-12-23,2019-12-23,1983-03-01,12.80
2019-12-23,2019-12-23,1983-04-01,12.78
2019-12-23,2019-12-23,1983-05-01,12.63
2019-12-23,2019-12-23,1983-06-01,12.87
2019-12-23,2019-12-23,1983-07-01,13.42
2019-12-23,2019-12-23,1983-08-01,13.81
2019-12-23,2019-12-23,1983-09-01,13.73
2019-12-23,2019-12-23,1983-10-01,13.54
2019-12-23,2019-12-23,1983-11-01,13.44
2019-12-23,2019-12-23,1983-12-01,13.42
2019-12-23,2019-12-23,1984-01-01,13.37
2019-12-23,2019-12-23,1984-02-01,13.23
2019-12-23,2019-12-23,1984-03-01,13.39
2019-12-23,2019-12-23,1984-04-01,13.65
2019-12-23,2019-12-23,1984-05-01,13.94
2019-12-23,2019-12-23,1984-06-01,14.42
2019-12-23,2019-12-23,1984-07-01,14.67
2019-12-23,2019-12-23,1984-08-01,14.47
2019-12-23,2019-12-23,1984-09-01,14.35
2019-12-23,2019-12-23,1984-10-01,14.13
2019-12-23,2019-12-23,1984-11-01,13.64
2019-12-23,2019-12-23,1984-12-01,13.18
2019-12-23,2019-12-23,1985-01-01,13.08
2019-12-23,2019-12-23,1985-02-01,12.92
2019-12-23,2019-12-23,1985-03-01,13.17
2019-12-23,2019-12-23,1985-04-01,13.20
2019-12-23,2019-12-23,1985-05-01,12.91
2019-12-23,2019-12-23,1985-06-01,12.22
2019-12-23,2019-12-23,1985-07-01,12.03
2019-12-23,2019-12-23,1985-08-01,12.19
2019-12-23,2019-12-23,1985-09-01,12.19
2019-12-23,2019-12-23,1985-10-01,12.14
2019-12-23,2019-12-23,1985-11-01,11.78
2019-12-23,2019-12-23,1985-12-01,11.26
2019-12-23,2019-12-23,1986-01-01,10.88
2019-12-23,2019-12-23,1986-02-01,10.71
2019-12-23,2019-12-23,1986-03-01,10.08
2019-12-23,2019-12-23,1986-04-01,9.94
2019-12-23,2019-12-23,1986-05-01,10.14
2019-12-23,2019-12-23,1986-06-01,10.68
2019-12-23,2019-12-23,1986-07-01,10.51
2019-12-23,2019-12-23,1986-08-01,10.20
2019-12-23,2019-12-23,1986-09-01,10.01
2019-12-23,2019-12-23,1986-10-01,9.97
2019-12-23,2019-12-23,1986-11-01,9.70
2019-12-23,2019-12-23,1986-12-01,9.31
2019-12-23,2019-12-23,1987-01-01,9.20
2019-12-23,2019-12-23,1987-02-01,9.08
2019-12-23,2019-12-23,1987-03-01,9.04
2019-12-23,2019-12-23,1987-04-01,9.83
2019-12-23,2019-12-23,1987-05-01,10.60
2019-12-23,2019-12-23,1987-06-01,10.54
2019-12-23,2019-12-23,1987-07-01,10.28
2019-12-23,2019-12-23,1987-08-01,10.33
2019-12-23,2019-12-23,1987-09-01,10.89
2019-12-23,2019-12-23,1987-10-01,11.26
2019-12-23,2019-12-23,1987-11-01,10.65
2019-12-23,2019-12-23,1987-12-01,10.65
2019-12-23,2019-12-23,1988-01-01,10.43
2019-12-23,2019-12-23,1988-02-01,9.89
2019-12-23,2019-12-23,1988-03-01,9.93
2019-12-23,2019-12-23,1988-04-01,10.20
2019-12-23,2019-12-23,1988-05-01,10.46
2019-12-23,2019-12-23,1988-06-01,10.46
2019-12-23,2019-12-23,1988-07-01,10.43
2019-12-23,2019-12-23,1988-08-01,10.60
2019-12-23,2019-12-23,1988-09-01,10.48
2019-12-23,2019-12-23,1988-10-01,10.30
2019-12-23,2019-12-23,1988-11-01,10.27
2019-12-23,2019-12-23,1988-12-01,10.61
2019-12-23,2019-12-23,1989-01-01,10.73
2019-12-23,2019-12-23,1989-02-01,10.65
2019-12-23,2019-12-23,1989-03-01,11.03
2019-12-23,2019-12-23,1989-04-01,11.05
2019-12-23,2019-12-23,1989-05-01,10.77
2019-12-23,2019-12-23,1989-06-01,10.20
2019-12-23,2019-12-23,1989-07-01,9.88
2019-12-23,2019-12-23,1989-08-01,9.99
2019-12-23,2019-12-23,1989-09-01,10.13
2019-12-23,2019-12-23,1989-10-01,9.95
2019-12-23,2019-12-23,1989-11-01,9.77
